Lithuania,27.3k,28.6k,29.9k,30.7k,31.9k,33.8k
Luxembourg,112k,113k,113k,113k,116k,115k
Latvia,24k,24.7k,25.4k,26.6k,27.5k,28.7k
Morocco,6630,6830,6910,7130,7110,7310
Monaco,65.8k,65.5k,66k,66.5k,67.4k,68k
Moldova,9000,9820,10.3k,10.4k,10.9k,11.7k
Madagascar,1540,1530,1540,1550,1570,1580
Maldives,16.7k,17.1k,17.6k,17.3k,17.6k,18.1k
Mexico,18.6k,18.6k,18.9k,19.3k,19.5k,19.7k
Marshall Islands,3470,3600,3550,3590,3620,3710
North Macedonia,13.7k,14.1k,14.6k,15.1k,15.6k,15.7k
Mali,2010,2000,2080,2140,2200,2250
Malta,33.9k,35.3k,37.2k,39.8k,40.5k,42.6k
Myanmar,3110,3330,3570,3660,4020,4230
Montenegro,16.8k,17.4k,17.7k,18.3k,18.8k,19.7k
Mongolia,9480,10.4k,11k,11k,11k,11.4k
Mozambique,1120,1170,1220,1260,1270,1280
Mauritania,4790,4850,4910,5020,4950,5110
Mauritius,18k,18.6k,19.2k,19.9k,20.6k,21.4k
Malawi,1390,1420,1460,1460,1450,1470
Malaysia,22.1k,22.9k,23.9k,24.8k,25.5k,26.7k
Namibia,9630,9990,10.4k,10.7k,10.5k,10.2k
Niger,1090,1100,1130,1130,1150,1160
Nigeria,5130,5330,5520,5520,5290,5190
Nicaragua,5080,5260,5440,5630,5810,6000
Netherlands,51.9k,51.6k,52.2k,53k,53.8k,55.1k
Norway,62k,61.9k,62.4k,63k,63.1k,64.1k
Nepal,2920,3030,3220,3330,3320,3570
Nauru,8090,10.5k,13.2k,13.6k,13.9k,13k
New Zealand,38.9k,39.6k,40.4k,41.1k,41.7k,42.3k
Oman,37.7k,36.8k,34.9k,34.6k,34.6k,33.3k
Pakistan,3980,4070,4170,4280,4420,4570
Panama,25.2k,26.5k,27.4k,28.4k,29.3k,30.4k
Peru,11.2k,11.7k,11.9k,12.1k,12.4k,12.5k
Philippines,6350,6670,6970,7300,7710,8120
Palau,16.8k,16.3k,17.3k,18.5k,18.5k,17.8k
Papua New Guinea,3450,3510,3910,4080,4220,4290
